id,name
10344,3rd age amulet
20011,3rd age axe
12424,3rd age bow
12437,3rd age cloak
23345,3rd age druidic cloak
23339,3rd age druidic robe bottoms
23336,3rd age druidic robe top
23342,3rd age druidic staff
10350,3rd age full helmet
10352,3rd age kiteshield
12426,3rd age longsword
10342,3rd age mage hat
20014,3rd age pickaxe
10348,3rd age platebody
10346,3rd age platelegs
23242,3rd age plateskirt
10334,3rd age range coif
10332,3rd age range legs
10330,3rd age range top
10340,3rd age robe
10338,3rd age robe top
10336,3rd age vambraces
12422,3rd age wand
10392,A powdered wig
13263,Abyssal bludgeon
11095,Abyssal bracelet(5)
13265,Abyssal dagger
13267,Abyssal dagger (p)
13269,Abyssal dagger (p+)
13271,Abyssal dagger (p++)
4151,Abyssal whip
2862,Achey tree logs
5312,Acorn
1317,Adamant 2h sword
890,Adamant arrow
891,Adamant arrow(p)
5620,Adamant arrow(p+)
5626,Adamant arrow(p++)
43,Adamant arrowtips
1357,Adamant axe
1371,Adamant battleaxe
9143,Adamant bolts
9290,Adamant bolts (p)
9297,Adamant bolts (p+)
9304,Adamant bolts (p++)
9380,Adamant bolts(unf)
4129,Adamant boots
4798,Adamant brutal
12377,Adamant cane
1111,Adamant chainbody
3100,Adamant claws
9183,Adamant crossbow
9463,Adamant crossbow (u)
1211,Adamant dagger
1227,Adamant dagger(p)
5676,Adamant dagger(p+)
5694,Adamant dagger(p++)
810,Adamant dart
823,Adamant dart tip
816,Adamant dart(p)
5633,Adamant dart(p+)
5640,Adamant dart(p++)
23270,Adamant dragon mask
1161,Adamant full helm
2613,Adamant full helm (g)
2605,Adamant full helm (t)
13020,Adamant gold-trimmed set (lg)
13022,Adamant gold-trimmed set (sk)
3200,Adamant halberd
11375,Adamant hasta
11407,Adamant hasta(p)
11410,Adamant hasta(p+)
11412,Adamant hasta(p++)
10296,Adamant helm (h1)
10298,Adamant helm (h2)
10300,Adamant helm (h3)
10302,Adamant helm (h4)
10304,Adamant helm (h5)
829,Adamant javelin
19578,Adamant javelin heads
835,Adamant javelin(p)
5646,Adamant javelin(p+)
5652,Adamant javelin(p++)
1199,Adamant kiteshield
2611,Adamant kiteshield (g)
2603,Adamant kiteshield (t)
867,Adamant knife
875,Adamant knife(p)
5659,Adamant knife(p+)
5666,Adamant knife(p++)
1301,Adamant longsword
1430,Adamant mace
1145,Adamant med helm
1271,Adamant pickaxe
1123,Adamant platebody
2607,Adamant platebody (g)
23392,Adamant platebody (h1)
23395,Adamant platebody (h2)
23398,Adamant platebody (h3)
23401,Adamant platebody (h4)
23404,Adamant platebody (h5)
2599,Adamant platebody (t)
1073,Adamant platelegs
2609,Adamant platelegs (g)
2601,Adamant platelegs (t)
1091,Adamant plateskirt
3475,Adamant plateskirt (g)
3474,Adamant plateskirt (t)
1331,Adamant scimitar
13012,Adamant set (lg)
13014,Adamant set (sk)
7334,Adamant shield (h1)
7340,Adamant shield (h2)
7346,Adamant shield (h3)
7352,Adamant shield (h4)
7358,Adamant shield (h5)
1245,Adamant spear
1259,Adamant spear(p)
5712,Adamant spear(p+)
5726,Adamant spear(p++)
1183,Adamant sq shield
1287,Adamant sword
804,Adamant thrownaxe
13016,Adamant trimmed set (lg)
13018,Adamant trimmed set (sk)
1345,Adamant warhammer
2361,Adamantite bar
9429,Adamantite limbs
4823,Adamantite nails
449,Adamantite ore
7198,Admiral pie
12430,Afro
11463,Agility mix(1)
11461,Agility mix(2)
3038,Agility potion(1)
3036,Agility potion(2)
3034,Agility potion(3)
3032,Agility potion(4)
12881,Ahrim's armour set
4708,Ahrim's hood
4860,Ahrim's hood 0
4714,Ahrim's robeskirt
4878,Ahrim's robeskirt 0
4712,Ahrim's robetop
4872,Ahrim's robetop 0
4710,Ahrim's staff
4866,Ahrim's staff 0
1397,Air battlestaff
573,Air orb
556,Air rune
1438,Air talisman
5527,Air tiara
4436,Airtight pot
20056,Ale of the gods
5767,Ale yeast
21347,Amethyst
21326,Amethyst arrow
21332,Amethyst arrow(p)
21334,Amethyst arrow(p+)
21336,Amethyst arrow(p++)
21350,Amethyst arrowtips
21338,Amethyst bolt tips
21316,Amethyst broad bolts
21318,Amethyst javelin
21352,Amethyst javelin heads
21320,Amethyst javelin(p)
21322,Amethyst javelin(p+)
21324,Amethyst javelin(p++)
1595,Amulet mould
1478,Amulet of accuracy
22557,Amulet of avarice
21160,Amulet of bounty
21163,Amulet of chemistry
1729,Amulet of defence
23309,Amulet of defence (t)
19707,Amulet of eternal glory
6585,Amulet of fury
1704,Amulet of glory
10362,Amulet of glory (t)
10354,Amulet of glory (t4)
11964,Amulet of glory (t6)
1712,Amulet of glory(4)
11978,Amulet of glory(6)
1727,Amulet of magic
10366,Amulet of magic (t)
1731,Amulet of power
23354,Amulet of power (t)
1725,Amulet of strength
12851,Amulet of the damned (full)
19553,Amulet of torture
12640,Amylase crystal
21018,Ancestral hat
21024,Ancestral robe bottom
21021,Ancestral robe top
21049,Ancestral robes set
319,Anchovies
2297,Anchovy pizza
20235,Ancient blessing
12490,Ancient bracers
12494,Ancient chaps
12197,Ancient cloak
12496,Ancient coif
12199,Ancient crozier
21804,Ancient crystal
12492,Ancient d'hide body
19921,Ancient d'hide boots
23197,Ancient d'hide shield
13171,Ancient dragonhide set
22302,Ancient effigy
21807,Ancient emblem
12466,Ancient full helm
12468,Ancient kiteshield
11061,Ancient mace
22299,Ancient medallion
12203,Ancient mitre
12621,Ancient page 1
12622,Ancient page 2
12623,Ancient page 3
12624,Ancient page 4
12460,Ancient platebody
12462,Ancient platelegs
12464,Ancient plateskirt
22305,Ancient relic
12195,Ancient robe legs
12193,Ancient robe top
13060,Ancient rune armour set (lg)
13062,Ancient rune armour set (sk)
4675,Ancient staff
21813,Ancient statuette
12201,Ancient stole
21810,Ancient totem
21634,Ancient wyvern shield
13441,Anglerfish
22246,Anguish ornament kit
20101,Ankou gloves
20104,Ankou leggings
20095,Ankou mask
20107,Ankou socks
20098,Ankou top
12775,Annakarl teleport
1540,Anti-dragon shield
11475,Anti-poison supermix(1)
11473,Anti-poison supermix(2)
12911,Anti-venom(1)
12909,Anti-venom(2)
12907,Anti-venom(3)
12905,Anti-venom(4)
12919,Anti-venom+(1)
12917,Anti-venom+(2)
12915,Anti-venom+(3)
12913,Anti-venom+(4)
11503,Antidote+ mix(1)
11501,Antidote+ mix(2)
5949,Antidote+(1)
5947,Antidote+(2)
5945,Antidote+(3)
5943,Antidote+(4)
5958,Antidote++(1)
5956,Antidote++(2)
5954,Antidote++(3)
5952,Antidote++(4)
11507,Antifire mix(1)
11505,Antifire mix(2)
2458,Antifire potion(1)
2456,Antifire potion(2)
2454,Antifire potion(3)
2452,Antifire potion(4)
11435,Antipoison mix(1)
11433,Antipoison mix(2)
179,Antipoison(1)
177,Antipoison(2)
175,Antipoison(3)
2446,Antipoison(4)
19631,Ape atoll teleport
5992,Apple mush
2323,Apple pie
5496,Apple sapling
5283,Apple tree seed
5386,Apples(5)
6910,Apprentice wand
21079,Arcane prayer scroll
12827,Arcane sigil
12825,Arcane spirit shield
20251,Arceuus banner
20113,Arceuus hood
19943,Arceuus scarf
3749,Archer helm
6733,Archers ring
1464,Archery ticket
10810,Arctic pine logs
10808,Arctic pyre logs
8011,Ardougne teleport
6891,Arena book
12506,Armadyl bracers
11830,Armadyl chainskirt
12510,Armadyl chaps
11828,Armadyl chestplate
12261,Armadyl cloak
12512,Armadyl coif
11785,Armadyl crossbow
12263,Armadyl crozier
12508,Armadyl d'hide body
19930,Armadyl d'hide boots
23200,Armadyl d'hide shield
13169,Armadyl dragonhide set
12476,Armadyl full helm
11802,Armadyl godsword
20068,Armadyl godsword ornament kit
11826,Armadyl helmet
11810,Armadyl hilt
12478,Armadyl kiteshield
12259,Armadyl mitre
12617,Armadyl page 1
12618,Armadyl page 2
12619,Armadyl page 3
12620,Armadyl page 4
12470,Armadyl platebody
12472,Armadyl platelegs
12474,Armadyl plateskirt
12255,Armadyl robe legs
12253,Armadyl robe top
13052,Armadyl rune armour set (lg)
13054,Armadyl rune armour set (sk)
12257,Armadyl stole
52,Arrow shaft
1905,Asgarnian ale
8520,Asgarnian ale
5785,Asgarnian ale(4)
5739,Asgarnian ale(m)
5865,Asgarnian ale(m4)
5996,Asgarnian hops
5308,Asgarnian seed
592,Ashes
2460,Assorted flowers
9075,Astral rune
3402,Asyn remains
11431,Attack mix(1)
11429,Attack mix(2)
125,Attack potion(1)
123,Attack potion(2)
121,Attack potion(3)
2428,Attack potion(4)
261,Avantoe
103,Avantoe potion (unf)
5298,Avantoe seed
22477,Avernic defender hilt
5751,Axeman's folly
5825,Axeman's folly(4)
5753,Axeman's folly(m)
5905,Axeman's folly(m4)
11238,Baby impling jar
534,Babydragon bones
4161,Bag of salt
8455,Bagged bluebells
8453,Bagged daffodils
8417,Bagged dead tree
8451,Bagged flower
8429,Bagged magic tree
8425,Bagged maple tree
8459,Bagged marigolds
8419,Bagged nice tree
8421,Bagged oak tree
8431,Bagged plant 1
8433,Bagged plant 2
8435,Bagged plant 3
8461,Bagged roses
8457,Bagged sunflower
8423,Bagged willow tree
8427,Bagged yew tree
6701,Baked potato
1759,Ball of wool
19592,Ballista limbs
19601,Ballista spring
1963,Banana
5497,Banana sapling
4016,Banana stew
5284,Banana tree seed
5416,Bananas(5)
8926,Bandana eyepatch
8925,Bandana eyepatch
8927,Bandana eyepatch
8924,Bandana eyepatch
4627,Bandit's brew
11836,Bandos boots
12498,Bandos bracers
12502,Bandos chaps
11832,Bandos chestplate
12273,Bandos cloak
12504,Bandos coif
12275,Bandos crozier
12500,Bandos d'hide body
19924,Bandos d'hide boots
23203,Bandos d'hide shield
13167,Bandos dragonhide set
12486,Bandos full helm
11804,Bandos godsword
20071,Bandos godsword ornament kit
11812,Bandos hilt
12488,Bandos kiteshield
12271,Bandos mitre
12613,Bandos page 1
12614,Bandos page 2
12615,Bandos page 3
12616,Bandos page 4
12480,Bandos platebody
12482,Bandos platelegs
12484,Bandos plateskirt
12267,Bandos robe legs
12265,Bandos robe top
13056,Bandos rune armour set (lg)
13058,Bandos rune armour set (sk)
12269,Bandos stole
11834,Bandos tassets
47,Barb bolttips
10129,Barb-tail harpoon
881,Barbed bolts
3239,Bark
6006,Barley
6008,Barley malt
5305,Barley seed
3216,Barrel
19629,Barrows teleport
22603,Basalt
24268,Basilisk jaw
5376,Basket
365,Bass
22470,Bastion potion(1)
22467,Bastion potion(2)
22464,Bastion potion(3)
22461,Bastion potion(4)
530,Bat bones
2164,Batta tin
22949,Battlefront teleport
22458,Battlemage potion(1)
22455,Battlemage potion(2)
22452,Battlemage potion(3)
22449,Battlemage potion(4)
1391,Battlestaff
12245,Beanie
23291,Bear feet
948,Bear fur
1917,Beer
8516,Beer barrel
1919,Beer glass
3803,Beer tankard
6908,Beginner wand
5281,Belladonna seed
3751,Berserker helm
11128,Berserker necklace
23237,Berserker necklace ornament kit
6737,Berserker ring
532,Big bones
305,Big fishing net
12355,Big pirate hat
5521,Binding necklace
21512,Bird house
5075,Bird nest
10006,Bird snare
1313,Black 2h sword
1361,Black axe
1367,Black battleaxe
1474,Black bead
2635,Black beret
7327,Black boater
4125,Black boots
4788,Black brutal
12375,Black cane
1019,Black cape
2643,Black cavalier
1107,Black chainbody
11959,Black chinchompa
3098,Black claws
2503,Black d'hide body
12381,Black d'hide body (g)
12385,Black d'hide body (t)
2497,Black d'hide chaps
12383,Black d'hide chaps (g)
12387,Black d'hide chaps (t)
22284,Black d'hide shield
2491,Black d'hide vambraces
1217,Black dagger
1233,Black dagger(p)
5682,Black dagger(p+)
5700,Black dagger(p++)
3093,Black dart
3094,Black dart(p)
5631,Black dart(p+)
5638,Black dart(p++)
20026,Black demon mask
6752,Black desert robe
6750,Black desert shirt
2509,Black dragon leather
12524,Black dragon mask
1747,Black dragonhide
12871,Black dragonhide set
10402,Black elegant legs
10400,Black elegant shirt
2476,Black flowers
1165,Black full helm
2595,Black full helm (g)
2587,Black full helm (t)
12996,Black gold-trimmed set (lg)
12998,Black gold-trimmed set (sk)
3196,Black halberd
2647,Black headband
10306,Black helm (h1)
10308,Black helm (h2)
10310,Black helm (h3)
10312,Black helm (h4)
10314,Black helm (h5)
1195,Black kiteshield
2597,Black kiteshield (g)
2589,Black kiteshield (t)
869,Black knife
874,Black knife(p)
5658,Black knife(p+)
5665,Black knife(p++)
20246,Black leprechaun hat
1297,Black longsword
1426,Black mace
8921,Black mask
8901,Black mask (10)
1151,Black med helm
4821,Black nails
12297,Black pickaxe
1125,Black platebody
2591,Black platebody (g)
23366,Black platebody (h1)
23369,Black platebody (h2)
23372,Black platebody (h3)
23375,Black platebody (h4)
23378,Black platebody (h5)
2583,Black platebody (t)
1077,Black platelegs
2593,Black platelegs (g)
2585,Black platelegs (t)
1089,Black plateskirt
3473,Black plateskirt (g)
3472,Black plateskirt (t)
581,Black robe
10148,Black salamander
1327,Black scimitar
12988,Black set (lg)
12990,Black set (sk)
7332,Black shield (h1)
7338,Black shield (h2)
7344,Black shield (h3)
7350,Black shield (h4)
7356,Black shield (h5)
1015,Black skirt
12445,Black skirt (g)
12447,Black skirt (t)
4580,Black spear
4582,Black spear(p)
5734,Black spear(p+)
5736,Black spear(p++)
10085,Black spiky vambraces
1179,Black sq shield
1283,Black sword
21730,Black tourmaline core
2524,Black toy horsey
12992,Black trimmed set (lg)
12994,Black trimmed set (sk)
20266,Black unicorn mask
1341,Black warhammer
10014,Black warlock
12453,Black wizard hat (g)
12455,Black wizard hat (t)
12449,Black wizard robe (g)
12451,Black wizard robe (t)
19988,Blacksmith's helm
23997,Blade of saeldor (inactive)
3353,Blamish bark shell
3361,Blamish blue shell
3351,Blamish blue shell
3345,Blamish myre shell
3355,Blamish myre shell
3349,Blamish ochre shell
3359,Blamish ochre shell
3357,Blamish red shell
3347,Blamish red shell
12831,Blessed spirit shield
565,Blood rune
3339,Blood'n'tar snelm
3329,Blood'n'tar snelm
22430,Bloody bracer
2633,Blue beret
7325,Blue boater
630,Blue boots
1021,Blue cape
2499,Blue d'hide body
7374,Blue d'hide body (g)
7376,Blue d'hide body (t)
2493,Blue d'hide chaps
7382,Blue d'hide chaps (g)
7384,Blue d'hide chaps (t)
22278,Blue d'hide shield
2487,Blue d'hide vambraces
12757,Blue dark bow paint
2505,Blue dragon leather
12520,Blue dragon mask
243,Blue dragon scale
1751,Blue dragonhide
12867,Blue dragonhide set
1767,Blue dye
10428,Blue elegant blouse
10410,Blue elegant legs
10408,Blue elegant shirt
10430,Blue elegant skirt
10089,Blue feather
7331,Blue firelighter
2464,Blue flowers
1055,Blue halloween mask
660,Blue hat
12301,Blue headband
1042,Blue partyhat
650,Blue robe bottoms
640,Blue robe top
1011,Blue skirt
7386,Blue skirt (g)
7388,Blue skirt (t)
10081,Blue spiky vambraces
579,Blue wizard hat
7394,Blue wizard hat (g)
7396,Blue wizard hat (t)
577,Blue wizard robe
7390,Blue wizard robe (g)
7392,Blue wizard robe (t)
22826,Bluegill
2064,Blurberry special
10322,Bob's black shirt
10318,Bob's blue shirt
10320,Bob's green shirt
10324,Bob's purple shirt
10316,Bob's red shirt
559,Body rune
1446,Body talisman
5533,Body tiara
9434,Bolt mould
8790,Bolt of cloth
4740,Bolt rack
8882,Bone bolts
5018,Bone club
8872,Bone dagger
8874,Bone dagger (p)
8876,Bone dagger (p+)
8878,Bone dagger (p++)
5016,Bone spear
526,Bones
8014,Bones to bananas
8015,Bones to peaches
13153,Book of balance page set
13159,Book of darkness page set
13157,Book of law page set
13155,Book of war page set
8510,Bookcase
22951,Boots of brimstone
20140,Boots of darkness
23037,Boots of stone
19662,Botanical pie
7919,Bottle of wine
23002,Bottled dragonbreath
22999,Bottled dragonbreath (unpowered)
22994,Bottomless compost bucket
24336,Bounty target teleport
12846,Bounty teleport scroll
1777,Bow string
1923,Bowl
4456,Bowl of hot water
1921,Bowl of water
20110,Bowl wig
10008,Box trap
11065,Bracelet mould
11074,Bracelet of clay
21817,Bracelet of ethereum (uncharged)
21183,Bracelet of slaughter
2021,Brandy
983,Brass key
1009,Brass necklace
2309,Bread
2307,Bread dough
12335,Briefcase
22975,Brimstone ring
11037,Brine sabre
11874,Broad arrowheads
11875,Broad bolts
3335,Broken bark snelm
22963,Broken dragon hasta
1307,Bronze 2h sword
882,Bronze arrow
883,Bronze arrow(p)
5616,Bronze arrow(p+)
5622,Bronze arrow(p++)
39,Bronze arrowtips
1351,Bronze axe
2349,Bronze bar
1375,Bronze battleaxe
877,Bronze bolts
878,Bronze bolts (p)
6061,Bronze bolts (p+)
6062,Bronze bolts (p++)
9375,Bronze bolts (unf)
4119,Bronze boots
4773,Bronze brutal
1103,Bronze chainbody
3095,Bronze claws
9174,Bronze crossbow
9454,Bronze crossbow (u)
1205,Bronze dagger
1221,Bronze dagger(p)
5670,Bronze dagger(p+)
5688,Bronze dagger(p++)
806,Bronze dart
819,Bronze dart tip
812,Bronze dart(p)
5628,Bronze dart(p+)
5635,Bronze dart(p++)
12363,Bronze dragon mask
1155,Bronze full helm
12211,Bronze full helm (g)
12221,Bronze full helm (t)
12968,Bronze gold-trimmed set (lg)
12970,Bronze gold-trimmed set (sk)
3190,Bronze halberd
11367,Bronze hasta
11379,Bronze hasta(p)
11382,Bronze hasta(p+)
11384,Bronze hasta(p++)
825,Bronze javelin
19570,Bronze javelin heads
831,Bronze javelin(p)
5642,Bronze javelin(p+)
5648,Bronze javelin(p++)
1189,Bronze kiteshield
12213,Bronze kiteshield (g)
12223,Bronze kiteshield (t)
864,Bronze knife
870,Bronze knife(p)
5654,Bronze knife(p+)
5661,Bronze knife(p++)
9420,Bronze limbs
1291,Bronze longsword
1422,Bronze mace
1139,Bronze med helm
4819,Bronze nails
1265,Bronze pickaxe
1117,Bronze platebody
12205,Bronze platebody (g)
12215,Bronze platebody (t)
1075,Bronze platelegs
12207,Bronze platelegs (g)
12217,Bronze platelegs (t)
1087,Bronze plateskirt
12209,Bronze plateskirt (g)
12219,Bronze plateskirt (t)
1321,Bronze scimitar
12960,Bronze set (lg)
12962,Bronze set (sk)
1237,Bronze spear
1251,Bronze spear(p)
5704,Bronze spear(p+)
5718,Bronze spear(p++)
1173,Bronze sq shield
1277,Bronze sword
800,Bronze thrownaxe
12964,Bronze trimmed set (lg)
12966,Bronze trimmed set (sk)
1337,Bronze warhammer
1794,Bronze wire
6257,Broodoo shield
6235,Broodoo shield
6279,Broodoo shield
6237,Broodoo shield (10)
6215,Broodoo shield (10)
6259,Broodoo shield (10)
1757,Brown apron
2649,Brown headband
2520,Brown toy horsey
3343,Bruise blue snelm
3333,Bruise blue snelm
22372,Bryophyta's essence
22368,Bryophyta's staff (uncharged)
1925,Bucket
19991,Bucket helm
20059,Bucket helm (g)
1927,Bucket of milk
1783,Bucket of sand
4687,Bucket of sap
1929,Bucket of water
30,Bucket of wax
4548,Bullseye lantern
4546,Bullseye lantern (empty)
4544,Bullseye lantern (unf)
21166,Burning amulet(5)
528,Burnt bones
20718,Burnt page
10012,Butterfly jar
10010,Butterfly net
1965,Cabbage
20272,Cabbage round shield
5324,Cabbage seed
5478,Cabbages(10)
5280,Cactus seed
6016,Cactus spine
265,Cadantine
22443,Cadantine blood potion (unf)
107,Cadantine potion (unf)
5301,Cadantine seed
753,Cadava berries
5102,Cadavaberry seed
1891,Cake
1887,Cake tin
21543,Calcite
5980,Calquat fruit
5769,Calquat keg
5503,Calquat sapling
5290,Calquat tree seed
8010,Camelot teleport
36,Candle
4532,Candle lantern
4529,Candle lantern
10,Cannon barrels
6,Cannon base
12,Cannon furnace
8,Cannon stand
2,Cannonball
23351,Cape of skulls
12776,Carrallangar teleport
8566,Carved oak bench
9853,Carved oak magic wardrobe
8552,Carved oak table
8570,Carved teak bench
9855,Carved teak magic wardrobe
8556,Carved teak table
405,Casket
11079,Castle wars bracelet(3)
12361,Cat mask
11280,Cavalier mask
5003,Cave eel
10981,Cave goblin wire
11326,Caviar
22935,Celastrus bark
22856,Celastrus sapling
22869,Celastrus seed
19627,Cemetery teleport
562,Chaos rune
1452,Chaos talisman
5543,Chaos tiara
973,Charcoal
20238,Charge dragonstone jewellery scroll
1985,Cheese
2259,Cheese+tom batta
8526,Chef's delight
